"TIME","GEO","UNIT","MOT_NRG","Value","Flag and Footnotes"
"2013","Finland","Number","Biodiesel","0",""
"2013","Finland","Number","Bi-fuel","83",""
"2013","Finland","Number","Other","2",""
"2013","Sweden","Number","Petroleum products","108,067",""
"2013","Sweden","Number","Liquefied petroleum gases (LPG)","1",""
"2013","Sweden","Number","Diesel","176,485",""
"2013","Sweden","Number","Natural Gas","1,325",""
"2013","Sweden","Number","Electricity","452",""
"2013","Sweden","Number","Alternative Energy","7,610",""
"2013","Sweden","Number","Petrol (excluding hybrids)  ","102,849",""
"2013","Sweden","Number","Hybrid electric-petrol","4,699",""
"2013","Sweden","Number","Plug-in hybrid petrol-electric  ","519",""
"2013","Sweden","Number","Diesel (excluding hybrids)  ","175,422",""
"2013","Sweden","Number","Hybrid diesel-electric","473",""
"2013","Sweden","Number","Plug-in hybrid diesel-electric  ","590",""
"2013","Sweden","Number","Hydrogen and fuel cells ","3",""
"2013","Sweden","Number","Bioethanol","1",""
"2013","Sweden","Number","Biodiesel","2",""
"2013","Sweden","Number","Bi-fuel","2,545",""
"2013","Sweden","Number","Other","3,281",""
"2013","United Kingdom","Number","Petroleum products",":",""
"2013","United Kingdom","Number","Liquefied petroleum gases (LPG)",":",""
"2013","United Kingdom","Number","Diesel",":",""
"2013","United Kingdom","Number","Natural Gas",":",""
"2013","United Kingdom","Number","Electricity",":",""
"2013","United Kingdom","Number","Alternative Energy",":",""
"2013","United Kingdom","Number","Petrol (excluding hybrids)  ",":",""
"2013","United Kingdom","Number","Hybrid electric-petrol",":",""
"2013","United Kingdom","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","United Kingdom","Number","Diesel (excluding hybrids)  ",":",""
"2013","United Kingdom","Number","Hybrid diesel-electric",":",""
"2013","United Kingdom","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","United Kingdom","Number","Hydrogen and fuel cells ",":",""
"2013","United Kingdom","Number","Bioethanol",":",""
"2013","United Kingdom","Number","Biodiesel",":",""
"2013","United Kingdom","Number","Bi-fuel",":",""
"2013","United Kingdom","Number","Other",":",""
"2013","Liechtenstein","Number","Petroleum products","1,041",""
"2013","Liechtenstein","Number","Liquefied petroleum gases (LPG)","0",""
"2013","Liechtenstein","Number","Diesel","858",""
"2013","Liechtenstein","Number","Natural Gas","4",""
"2013","Liechtenstein","Number","Electricity","14",""
"2013","Liechtenstein","Number","Alternative Energy","21",""
"2013","Liechtenstein","Number","Petrol (excluding hybrids)  ","1,000",""
"2013","Liechtenstein","Number","Hybrid electric-petrol","41",""
"2013","Liechtenstein","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Liechtenstein","Number","Diesel (excluding hybrids)  ","857",""
"2013","Liechtenstein","Number","Hybrid diesel-electric","1",""
"2013","Liechtenstein","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Liechtenstein","Number","Hydrogen and fuel cells ","0",""
"2013","Liechtenstein","Number","Bioethanol","0",""
"2013","Liechtenstein","Number","Biodiesel","0",""
"2013","Liechtenstein","Number","Bi-fuel","3",""
"2013","Liechtenstein","Number","Other","0",""
"2013","Norway","Number","Petroleum products","67,701",""
"2013","Norway","Number","Liquefied petroleum gases (LPG)",":",""
"2013","Norway","Number","Diesel","97,464",""
"2013","Norway","Number","Natural Gas",":",""
"2013","Norway","Number","Electricity","9,970",""
"2013","Norway","Number","Alternative Energy","10,584",""
"2013","Norway","Number","Petrol (excluding hybrids)  ",":",""
"2013","Norway","Number","Hybrid electric-petrol",":",""
"2013","Norway","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Norway","Number","Diesel (excluding hybrids)  ",":",""
"2013","Norway","Number","Hybrid diesel-electric",":",""
"2013","Norway","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Norway","Number","Hydrogen and fuel cells ",":",""
"2013","Norway","Number","Bioethanol",":",""
"2013","Norway","Number","Biodiesel",":",""
"2013","Norway","Number","Bi-fuel",":",""
"2013","Norway","Number","Other","884",""
"2013","Switzerland","Number","Petroleum products","191,300",""
"2013","Switzerland","Number","Liquefied petroleum gases (LPG)","0",""
"2013","Switzerland","Number","Diesel","116,600",""
"2013","Switzerland","Number","Natural Gas","400",""
"2013","Switzerland","Number","Electricity","1,400",""
"2013","Switzerland","Number","Alternative Energy","2,300",""
"2013","Switzerland","Number","Petrol (excluding hybrids)  ","185,100",""
"2013","Switzerland","Number","Hybrid electric-petrol","6,200",""
"2013","Switzerland","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Switzerland","Number","Diesel (excluding hybrids)  ","115,600",""
"2013","Switzerland","Number","Hybrid diesel-electric","1,000",""
"2013","Switzerland","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Switzerland","Number","Hydrogen and fuel cells ","0",""
"2013","Switzerland","Number","Bioethanol","0",""
"2013","Switzerland","Number","Biodiesel","0",""
"2013","Switzerland","Number","Bi-fuel","500",""
"2013","Switzerland","Number","Other","0",""
"2013","North Macedonia","Number","Petroleum products","8,868",""
"2013","North Macedonia","Number","Liquefied petroleum gases (LPG)","220",""
"2013","North Macedonia","Number","Diesel","22,778",""
"2013","North Macedonia","Number","Natural Gas",":",""
"2013","North Macedonia","Number","Electricity",":",""
"2013","North Macedonia","Number","Alternative Energy","220",""
"2013","North Macedonia","Number","Petrol (excluding hybrids)  ","8,868",""
"2013","North Macedonia","Number","Hybrid electric-petrol",":",""
"2013","North Macedonia","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","North Macedonia","Number","Diesel (excluding hybrids)  ","22,778",""
"2013","North Macedonia","Number","Hybrid diesel-electric",":",""
"2013","North Macedonia","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","North Macedonia","Number","Hydrogen and fuel cells ",":",""
"2013","North Macedonia","Number","Bioethanol",":",""
"2013","North Macedonia","Number","Biodiesel",":",""
"2013","North Macedonia","Number","Bi-fuel",":",""
"2013","North Macedonia","Number","Other","61",""
"2013","Turkey","Number","Petroleum products","256,506",""
"2013","Turkey","Number","Liquefied petroleum gases (LPG)","14,312",""
"2013","Turkey","Number","Diesel","383,904",""
"2013","Turkey","Number","Natural Gas","3",""
"2013","Turkey","Number","Electricity","180",""
"2013","Turkey","Number","Alternative Energy","14,495",""
"2013","Turkey","Number","Petrol (excluding hybrids)  ","256,479",""
"2013","Turkey","Number","Hybrid electric-petrol","27",""
"2013","Turkey","Number","Plug-in hybrid petrol-electric  ",":",""
"2013","Turkey","Number","Diesel (excluding hybrids)  ","383,904",""
"2013","Turkey","Number","Hybrid diesel-electric",":",""
"2013","Turkey","Number","Plug-in hybrid diesel-electric  ",":",""
"2013","Turkey","Number","Hydrogen and fuel cells ",":",""
"2013","Turkey","Number","Bioethanol",":",""
"2013","Turkey","Number","Biodiesel",":",""
"2013","Turkey","Number","Bi-fuel",":",""
"2013","Turkey","Number","Other",":",""
"2014","Belgium","Number","Petroleum products","181,524",""
"2014","Belgium","Number","Liquefied petroleum gases (LPG)",":",""
"2014","Belgium","Number","Diesel","303,953",""
"2014","Belgium","Number","Natural Gas","263",""
"2014","Belgium","Number","Electricity","1,167",""
"2014","Belgium","Number","Alternative Energy","2,234",""
"2014","Belgium","Number","Petrol (excluding hybrids)  ","173,939",""
"2014","Belgium","Number","Hybrid electric-petrol","7,585",""
"2014","Belgium","Number","Plug-in hybrid petrol-electric  ",":",""
"2014","Belgium","Number","Diesel (excluding hybrids)  ","303,212",""
"2014","Belgium","Number","Hybrid diesel-electric","741",""
"2014","Belgium","Number","Plug-in hybrid diesel-electric  ",":",""
"2014","Belgium","Number","Hydrogen and fuel cells ",":",""
"2014","Belgium","Number","Bioethanol",":",""
"2014","Belgium","Number","Biodiesel",":",""
"2014","Belgium","Number","Bi-fuel",":",""
"2014","Belgium","Number","Other","804",""
"2014","Denmark","Number","Petroleum products","127,172",""
"2014","Denmark","Number","Liquefied petroleum gases (LPG)",":",""
"2014","Denmark","Number","Diesel","59,544",""
"2014","Denmark","Number","Natural Gas",":",""
"2014","Denmark","Number","Electricity",":",""
"2014","Denmark","Number","Alternative Energy",":",""
